"Year","Period","State","Commodity","Type","Production","Chemical","Materials","Unit","Value"
2019,"MARKETING YEAR","CALIFORNIA","BLUEBERRIES","TAME","PRICE RECEIVED",""," "," MEASURED IN $ / LB","2.85"
2019,"MARKETING YEAR","CALIFORNIA","BLUEBERRIES","TAME","PRICE RECEIVED",""," "," MEASURED IN $ / LB","3.56"
2019,"MARKETING YEAR","CALIFORNIA","BLUEBERRIES","TAME","PRICE RECEIVED",""," "," MEASURED IN $ / LB","0.29"
2019,"MARKETING YEAR","CALIFORNIA","RASPBERRIES"," ","PRICE RECEIVED",""," "," MEASURED IN $ / LB","2.69"
2019,"MARKETING YEAR","CALIFORNIA","STRAWBERRIES"," ","PRICE RECEIVED",""," "," MEASURED IN $ / CWT","108"
2019,"MARKETING YEAR","FLORIDA","BLUEBERRIES","TAME","PRICE RECEIVED",""," "," MEASURED IN $ / LB","2.64"
2019,"MARKETING YEAR","FLORIDA","STRAWBERRIES"," ","PRICE RECEIVED",""," "," MEASURED IN $ / CWT","152"
2019,"MARKETING YEAR","GEORGIA","BLUEBERRIES","TAME","PRICE RECEIVED",""," "," MEASURED IN $ / LB","1.42"
2019,"MARKETING YEAR","GEORGIA","BLUEBERRIES","TAME","PRICE RECEIVED",""," "," MEASURED IN $ / LB","1.94"
2019,"MARKETING YEAR","GEORGIA","BLUEBERRIES","TAME","PRICE RECEIVED",""," "," MEASURED IN $ / LB","0.42"
2019,"MARKETING YEAR","MAINE","BLUEBERRIES","WILD","PRICE RECEIVED",""," "," MEASURED IN $ / LB","0.48"
2019,"MARKETING YEAR","MAINE","BLUEBERRIES","WILD","PRICE RECEIVED",""," "," MEASURED IN $ / LB","1.19"
2019,"MARKETING YEAR","MAINE","BLUEBERRIES","WILD","PRICE RECEIVED",""," "," MEASURED IN $ / LB","0.461"
2019,"MARKETING YEAR","MICHIGAN","BLUEBERRIES","TAME","PRICE RECEIVED",""," "," MEASURED IN $ / LB","0.886"
2019,"MARKETING YEAR","MICHIGAN","BLUEBERRIES","TAME","PRICE RECEIVED",""," "," MEASURED IN $ / LB","1.35"
2019,"MARKETING YEAR","MICHIGAN","BLUEBERRIES","TAME","PRICE RECEIVED",""," "," MEASURED IN $ / LB","0.37"
2019,"MARKETING YEAR","NEW JERSEY","BLUEBERRIES","TAME","PRICE RECEIVED",""," "," MEASURED IN $ / LB","1.85"
2019,"MARKETING YEAR","NEW JERSEY","BLUEBERRIES","TAME","PRICE RECEIVED",""," "," MEASURED IN $ / LB","2.15"
2019,"MARKETING YEAR","NEW JERSEY","BLUEBERRIES","TAME","PRICE RECEIVED",""," "," MEASURED IN $ / LB","0.44"
2019,"MARKETING YEAR","NORTH CAROLINA","BLUEBERRIES","TAME","PRICE RECEIVED",""," "," MEASURED IN $ / LB","1.7"
