"Year","State","Type","Production","Chemical","Materials","Unit","Value"
2019,"CALIFORNIA","BEARING","APPLICATIONS","FUNGICIDE","(BOSCALID = 128008)"," AVG",0.358
2019,"CALIFORNIA","BEARING","APPLICATIONS","FUNGICIDE","(CYPRODINIL = 288202)"," AVG",0.324
2019,"CALIFORNIA","BEARING","APPLICATIONS","FUNGICIDE","(FLUDIOXONIL = 71503)"," AVG",0.216
2019,"CALIFORNIA","BEARING","APPLICATIONS","FUNGICIDE","(MYCLOBUTANIL = 128857)"," AVG",0.079
2019,"CALIFORNIA","BEARING","APPLICATIONS","FUNGICIDE","(PYRACLOSTROBIN = 99100)"," AVG",0.182
2019,"CALIFORNIA","BEARING","APPLICATIONS","INSECTICIDE","(ACEQUINOCYL = 6329)"," AVG",0.303
2019,"CALIFORNIA","BEARING","APPLICATIONS","INSECTICIDE","(BIFENAZATE = 586)"," AVG",0.501
2019,"CALIFORNIA","BEARING","APPLICATIONS","INSECTICIDE","(METHOXYFENOZIDE = 121027)"," AVG",0.129
2019,"CALIFORNIA","BEARING","APPLICATIONS","INSECTICIDE","(PYRETHRINS = 69001)"," AVG",0.042
2019,"CALIFORNIA","BEARING","APPLICATIONS","INSECTICIDE","(SPINETORAM = 110007)"," AVG",0.077
2019,"CALIFORNIA","BEARING","APPLICATIONS","INSECTICIDE","(SPINOSAD = 110003)"," AVG",0.084
2019,"CALIFORNIA","BEARING","APPLICATIONS","INSECTICIDE","(ZETA-CYPERMETHRIN = 129064)"," AVG",0.046
2019,"CALIFORNIA","BEARING","APPLICATIONS","(NITROGEN)"," "," AVG",1
2019,"CALIFORNIA","BEARING","APPLICATIONS","FUNGICIDE","(BOSCALID = 128008)"," AVG",0.418
2019,"CALIFORNIA","BEARING","APPLICATIONS","FUNGICIDE","(CYPRODINIL = 288202)"," AVG",0.44
2019,"CALIFORNIA","BEARING","APPLICATIONS","FUNGICIDE","(FLUDIOXONIL = 71503)"," AVG",0.293
2019,"CALIFORNIA","BEARING","APPLICATIONS","FUNGICIDE","(MYCLOBUTANIL = 128857)"," AVG",0.085
2019,"CALIFORNIA","BEARING","APPLICATIONS","FUNGICIDE","(PYRACLOSTROBIN = 99100)"," AVG",0.208
2019,"CALIFORNIA","BEARING","APPLICATIONS","INSECTICIDE","(ACEQUINOCYL = 6329)"," AVG",0.31
2019,"CALIFORNIA","BEARING","APPLICATIONS","INSECTICIDE","(BIFENAZATE = 586)"," AVG",0.583
2019,"CALIFORNIA","BEARING","APPLICATIONS","INSECTICIDE","(METHOXYFENOZIDE = 121027)"," AVG",0.131
2019,"CALIFORNIA","BEARING","APPLICATIONS","INSECTICIDE","(PYRETHRINS = 69001)"," AVG",0.166
